Group,Volume,Tier,Keywords,KeywordCount,Category
67,15505,1,wells fargo credit card login - wells fargo cards login - wells fargo credit card sign in - wellsfargo credit card login - wells fargo credit card log in - wells fargo credit card online,6,Major Bank Credit Cards
68,5400,2,chase sapphire card,1,Airline Credit Cards
69,51600,1,wells fargo credit card - Wellsfargo Credit Card - well fargo credit card - wells fargo visa - wellsfargocreditcard - wells fargo bank credit card,6,Major Bank Credit Cards
70,14020,1,chase freedom unlimited foreign transaction fee - chase freedom foreign transaction fee - chase freedom unlimited foreign transaction fees - chase freedom international fees - chase freedom unlimited international fees - chase freedom card foreign transaction fee - does chase freedom unlimited have foreign transaction fees - freedom unlimited foreign transaction fee - chase freedom unlimited foreign fees - chase unlimited foreign transaction fee - chase freedom unlimited international transaction fee - chase freedom unlimited credit card foreign transaction fee - chase freedom international fee - foreign transaction fee chase freedom unlimited - chase freedom visa foreign transaction fee - chase unlimited freedom foreign transaction fee - chase freedom foreign transaction fees,17,Major Bank Credit Cards
71,400,3,monthly statement,1,Credit Card Benefits
72,3765,2,credit limit increase.citi com - citi credit limit increase - citi increase credit limit - citibank credit limit increase - citibank credit line increase - citi request credit increase - credit limit increase citibank - citi credit card limit increase - citi credit line increase - citi card request credit increase - how to request credit limit increase citibank - citi card increase credit limit - increase credit limit citibank - how to increase citi credit card limit,14,Credit Card Limits
73,930,3,fit mastercard,1,Major Bank Credit Cards
74,13035,1,capital one secured credit card - capital one secured card - capital one secured - secured credit card capital one - capital one secure card - apply for capital one secured credit card - secured mastercard capital one - capital one secured visa - capital one secure credit card - secure capital one - secured credit cards capital one - secured card capital one - capitol one secured credit card,13,Starter Credit Cards
75,7460,2,citi mastercard - citibank mastercard - citi/mastercard - citi master card,4,Major Bank Credit Cards
76,9140,2,citi simplicity login - citisimplicity login,2,Major Bank Credit Cards
77,23055,1,southwest card - southwest airlines credit card - southwest airlines card - southwest visa card - southwest rapid rewards visa - southwest cc - southwest creditcard - sw credit card - southwest airlines visa card - visa southwest credit card - southwest visa rapid rewards - southwest card application - south west credit card - southwest visa rewards - southwest discover card - southwest airline credit card - southwest rewards card - southwest cards - southwest rewards credit card - southwest rewards credit cards,20,Airline Credit Cards
78,5880,2,greendot cashback - green dot cash back - cash back green dot,3,Credit Card Benefits
79,27260,1,capital one credit cards - capitalone credit cards - capital one cc - capitalone cc - credit card capital one - capitalone creditcards - capitol one credit cards,7,Major Bank Credit Cards
80,3670,2,accountnow - account now prepaid card - www account now - account now card - accountnow card,5,No Credit Credit Cards
81,630,3,genesis bankcard services,1,Business Finance
82,1600,2,credit cards.com,1,Store Credit Cards
83,21405,1,united explorer card - united plus explorer - united mileageplus explorer card - mileageplus explorer card - united mileage plus explorer - united explorer mileageplus - united mileage plus explorer card - united explorer credit card - united explorer mileageplus card - ua explorer card - united plus explorer card - explorer united card - united mileageplus explorer - united mileage plus explorer card benefits - united explorer card benefits - unitedsm explorer card - mileageplus explorer card benefits - united explorer credit card benefits,18,Airline Credit Cards
84,1685,2,intro apr - what is introductory apr - intro apr meaning - purchase intro apr - low intro apr meaning,5,Low Interest Credit Cards
85,26980,1,fortiva - fortiva bank,2,Major Bank Credit Cards
86,2175,2,best credit cards for fair credit - best credit card for fair credit - best credit card fair credit - best fair credit cards - best credit cards to apply for with fair credit - best credit card with fair credit,6,Best Credit Cards
87,22655,1,business credit cards - company credit cards - business credit card offers - credit card for business - business credit cards offer - business cards credit - credit card for small business - credit card business cards - businesses credit cards - business card credit card - credit cards small business - business cards credit card - credit card account business - apply for small business credit card,14,Business Finance
88,20700,1,opensky,1,Airline Credit Cards
89,1320,2,genesis card - genesis credit cards,2,Store Credit Cards
90,12505,1,credit card for bad credit - bad credit credit card - credit cards for poor to fair credit - cards for bad credit - the best credit cards for bad credit - good credit cards with bad credit - credit cards for building bad credit - great credit cards for bad credit - credit cards for low credit - credit card with bad credit - credit cards with bad credit - apply for a credit card with bad credit - credit cards bad credit - creditcards for bad credit - credit card for low credit - credit cards with poor credit,16,Bad Credit
91,8150,2,paypal card - paypal debit mastercard - pay pal card,3,Store Credit Cards
92,24815,1,discover 5 cash back - discover 5% - discover.com/five - discover 5 - discover 5% cash back - 5% discover - discover 5 percent - discover card 5 cash back - discover monthly rewards - discover card 5 percent - discover card 5 - discover card 5%,12,Credit Card Benefits
93,3870,2,see if you're pre qualified credit cards - check credit card pre approval - check for pre approved credit cards - check pre qualified credit cards - check for pre qualified credit cards - credit card pre approval check - see if you qualify,7,Credit Card Benefits
94,70750,1,costco citi - citi costco card - costco anywhere visa - citicostco - costco city visa - costco city card - citi bank costco - costcociticard - costco city bank - citi/costco - citi-costco - citicostcocard - citi/costco card - costco credit card citi - costco citi bank card - costco visa citi - costco creditcard - citicostco card - citibank costco credit card - citi costco credit - citi bank costco visa - costco visa card - citibank costco card - costco visa credit card - costco citi credit card - costco citibank card - costco credit cards - citi costco anywhere card - costco credit - costco citi cards - costco anywhere card - citi credit card costco - citi cards costco - costco anywhere visa card by citi - citi bank costco card - citi visa costco card - visa costco card - citi bank costco credit card - costco citibank visa card - citi costco credit cards - costco citibank credit card - citibank credit card costco - costco card citi - citi card by costco - citi costco visa card - citi costco cards - citibank costco visa card - citi card for costco - www.costco credit card,49,Store Credit Cards
95,7880,2,comenity bank credit cards - comenity credit cards - comenity bank credit card - comenity capital bank credit cards,4,Store Credit Cards
96,9700,2,amazon credit - amazoncard,2,Store Credit Cards
97,11000,1,rakuten credit card - ebates credit card,2,Store Credit Cards
98,16500,1,amex credit card,1,Major Bank Credit Cards
99,7880,2,"www.walmart.com/credit - walmart,com/creditlogin - walmart. com/creditlogin - walmart .com/creditlogin - walmart.com/creditcardlogin - www.walmartcreditcard",6,Store Credit Cards
100,20300,1,credit one bank login,1,Major Bank Credit Cards
101,3100,2,gobank prepaid card,1,No Credit Credit Cards
102,6110,2,outstanding balance - outstanding balance meaning - what is outstanding balance - outstanding balance means - what does outstanding balance mean - outstanding balance mean,6,Personal Debt
103,12887,1,reflex card - reflex credit card - reflex bank - my reflex credit card - reflex mastercard credit card - myreflex credit card - reflexcreditcard - reflex card info,8,Major Bank Credit Cards
104,7600,2,credit report definition - credit reports definition,2,Credit Score
105,28795,1,chase pre approval - chase pre qualify - chase prequalified - chase prequalify - chase preapproval - chase prequalify credit card - chase prequalified credit card - chase prequalified offers - chase pre-approval - chase credit card pre approval check - does chase have pre approval - chase pre approval credit cards - chase pre-qualify - chase card pre qualify - prequalify chase - prequalify chase credit card - chase pre approval page - chase pre qualified credit card - chase pre approved offers - chase credit card prequalification - chase pre approved credit card - chase credit card prequalify - chase pre approval tool - chase preapproved - credit card pre qualify chase - chase pre qualified offers - chase pre approval offers - chase pre qualify offers - pre qualify credit card chase - chase credit card pre qualification - pre qualify chase - pre approved credit cards chase - chase bank pre approval credit card - chase credit card pre approval - chase pre approval credit card - chase card pre approval - chase preapprovals,37,Major Bank Credit Cards
106,380,3,gapvisacard login,1,Major Bank Credit Cards
107,1920,2,myavantcard - my avantcard.com,2,Store Credit Cards
108,2500,2,fingerhut credit card,1,Store Credit Cards
109,18000,1,credit card payoff calculator - credit card debt calculator - credit card repayment calculator - credit card calculator payoff - credit card pay off calculator - pay off credit card calculator - calculate how long to pay off credit card - multiple credit card payoff calculator - payoff credit card debt calculator - payoff calculator credit card - cc payoff calculator - payoff credit card calculator - credit card early payoff calculator - how long pay off credit card - pay down credit card debt calculator - how to calculate credit card payoff - pay off debt calculator credit card - credit card payoff calculators - credit card pay down calculator,19,Personal Debt
110,15100,1,billing address,1,Personal Loans
111,4760,2,shopping cart trick - shopping cart trick stores - list of shopping cart trick credit cards - shopping card trick - what stores does the shopping cart trick work on - shopping cart credit card trick - credit card shopping cart trick,7,Store Credit Cards
112,19190,1,pre approval credit cards - pre approved credit cards - prequalify credit cards - pre-qualified credit cards - get pre approved for credit card - pre approved credit card - pre qualified credit cards - prequalify for credit cards - credit cards pre approval - prequalify credit card offers - pre-approved credit cards - pre approved credit - pre qualify credit card offers - pre qualification credit card - pre qualified credit cards offers - credit card prequalify offers - get pre approved for credit cards - pre-approval credit cards - credit cards pre qualify - credit cards that prequalify - pre-qualify for credit cards - pre-qualify for credit card - pre qualify for credit cards - get prequalified for credit cards - credit cards that pre qualify - prequalification credit cards - how to get pre approved for a credit card - credit cards pre qualified offers - pre approval for credit cards - pre qualify credit card without affecting credit score - prequalify for a credit card - apply for pre approved credit card - credit card pre approvals - pre approved cards - how do i get pre approved for a credit card - preapproval for credit card - pre approved offers - credit card pre approved - prequalify for credit card - preapproved credit card - preapproved credit card offers,41,Credit Card Benefits
113,21580,1,discover student credit card - discover credit card student - discovery student credit card - discover it card student - discover it student credit card - discover college card - discover it credit card student - student credit card discover - discover card student card,9,Starter Credit Cards
114,340,3,nextadvisor credit card,1,Credit Card Benefits
115,8635,2,surge credit card - surgecreditcard,2,Store Credit Cards
116,18900,1,credit card comparison - compare credit cards - credit card compare - comparing credit cards - compare cards - how to compare credit cards - comparison credit cards - credit card comparisons - compare creditcards - credit card comparison tool student - credit card rate comparison - credit cards comparisons - credit card benefits comparison - credit card rates comparison - credit cards comparison chart - card compare - credit cards comparison - credit cards compare - compare credit card companies - compare credit card offers - card comparison - credit comparison - credit card comparison sites - credit card rate comparisons - compare credit card - credit card comparison website - credit card comparison site - credit card compare website - compare credit cards usa - compare the best credit cards,30,Credit Advice
117,4100,2,easy citi deals - citi easy deals - citieasydeals - citi easy deals login - city easy deals,5,Major Bank Credit Cards
118,5973,2,chase secured credit card - chase secured card - secured credit card from chase,3,Starter Credit Cards
119,6995,2,paypal prepaid card - prepaid paypal card - paypal mastercard prepaid - prepaid mastercard paypal - prepaid paypal cards - prepaid paypal.com - paypal card prepaid,7,Store Credit Cards
120,2300,2,citi.com/applydiamondpreferred,1,Major Bank Credit Cards
121,320,3,chase transfer credit limit,1,Credit Card Limits
122,14680,1,paypal key - what is paypal key - paypal key card,3,Major Bank Credit Cards
123,10230,1,chase freedom unlimited vs flex - chase freedom flex vs freedom unlimited - freedom flex vs freedom unlimited - freedom unlimited vs freedom flex - chase freedom flex vs unlimited - chase freedom unlimited or flex - chase freedom flex vs chase freedom unlimited - freedom unlimited vs flex - chase freedom unlimited vs chase freedom flex - freedom flex vs unlimited - chase freedom flex or unlimited,11,Major Bank Credit Cards
124,340,3,credit card interest rate margin,1,Credit Card Benefits
125,11730,1,green dot prepaid card - greendot prepaid card - greendot prepaid - greendot prepaid visa - green dot prepaid - greendot prepaid cards - green dot prepaid visa - green dot prepaid visa card - green dot prepaid debit card - prepaid cards green dot - green dot prepaid cards - green dot visa gift card,12,No Credit Credit Cards
126,20100,1,us bank credit card - u.s. bank credit card - u s bank credit card - us bank credit - us bank credit cards - usa bank credit card,6,Major Bank Credit Cards
127,11375,1,discover it card - discoverit card - discover one - credit card discover,4,Major Bank Credit Cards
128,6100,2,boa credit card,1,Store Credit Cards
129,10700,1,petal card,1,Store Credit Cards
130,1500,2,visa annual fee - visa credit card annual fee,2,Major Bank Credit Cards
131,320,3,creditcards.com debt payoff,1,Personal Debt
132,10300,1,wells fargo credit cards - wellsfargo credit cards,2,Major Bank Credit Cards
133,15800,1,master card,1,Major Bank Credit Cards
134,1100,2,igh hotels,1,Airline Credit Cards
135,31785,1,best travel credit cards - best credit cards for travel rewards - best card for travel - best credit card for travel rewards - best new travel credit cards - best travel reward credit cards - best travel credit card offers - best travel cards - best credit card for travel miles - best reward credit cards for travel - best travel rewards card - best travel rewards cards - best credit card for travel points - best travel miles credit card - best credit card rewards for travel - best travel points credit card - best card for travel points - best credit cards for traveling - best cards for travel - best travel point credit cards - best credit card offers for travel - best credit cards rewards for travel - best travel rewards credit card offers - best credit cards for travelling - best credit cards travel rewards - best credit cards for travel points - best credit card for rewards and travel - best credit card to earn points for travel - best credit card for travellers - best credit card travel rewards - best travel rewards credit cards - best travel point credit card - best credit cards to travel - best credit card travel reward - best rewards travel card - best credit card to get points for travel - best credit cards to earn travel points,37,Airline Credit Cards
136,24145,1,discover secured credit card - discover secured card - discover it secured credit card - discover it secured card - Discover itÂ® Secured - discover secure card - discoverit secured card - secured discover card - discover secured - discover credit card secured - the discover it secured credit card - secured credit card discover - discover it card secured - discover secured credit cards - discover bank secured credit card - discover card secured - secure discover card,17,Starter Credit Cards
137,12990,1,credit cards for fair credit - fair credit credit cards - credit card with fair credit - best credit card offers for fair credit - credit card for fair credit - credit card for fair credit score - credit cards for ok credit - credit card offers for average credit - top credit cards for fair credit - credit cards for fair to good credit - credit card offers for fair credit - fair credit score credit cards - credit cards for fair credit scores - credit card for average credit - fair credit cards - credit cards for people with fair credit - fair score credit cards - credit card fair credit score - fair credit card - credit card applications for fair credit - credit cards with fair credit - credit cards for good to fair credit - credit card fair credit - good credit cards for fair credit - credit cards to apply for with fair credit - credit for fair credit - credit cards with fair credit score - credit card with fair credit score - credit card for people with fair credit - credit cards for average credit,30,Starter Credit Cards
138,13755,1,venmo credit card - venmo credit - venmo credit cards,3,Store Credit Cards
139,12000,1,paypal cash card,1,Money Advance
140,5100,2,delta skymiles card,1,Airline Credit Cards
141,4170,2,statement credit - what is statement credit - what is a statement credit - statement credit meaning - redeem for a statement credit - redeem for statement credit - what are statement credits - statement credits - how to use statement credit,9,Credit Card Benefits
142,14640,1,pre qualify credit cards - credit card pre approval - credit card pre qualify - prequalified credit card - pre approval credit card - pre qualify credit card - credit card prequalify - prequalify credit card - get pre approved for a credit card - credit card preapproval - prequalify credit - pre-qualify credit cards - credit card pre-approval - credit card pre qualification - pre-approval credit card - prequalification credit card - pre-qualify credit card - credit pre qualify - pre qualify cards - preapproval credit cards,20,Credit Advice
143,2304,2,how to receive money from venmo - how to receive money on venmo - how to receive money through venmo - receiving money from venmo - how do i receive money on venmo - venmo how to receive money - receive money venmo - how to use venmo to receive money - how to set up a venmo account to receive money - how to get venmo money,10,Business Finance
144,16225,1,bank of america credit cards - bank of america cards - bofa credit cards - boa credit cards - bankofamerica credit cards - bank of america credit card apply - does bank of america offer credit cards,7,Major Bank Credit Cards
145,13340,1,sam's club card - sams club card - sams card - samsclub card - sam club card,5,Store Credit Cards
146,9180,2,synchrony bank credit cards - synchrony credit cards - synchrony cards,3,Store Credit Cards
147,10965,1,walmart pay - walmartpay - walmart easy pay - walmart.com walmart pay,4,Store Credit Cards
148,6440,2,capital one rewards - capitalonerewards,2,Credit Card Benefits
149,12680,1,opensky credit card - open sky credit card - opensky secured credit card - opensky secured visa credit card - open sky card - sky credit card - opensky secured card,7,Starter Credit Cards
150,26995,1,bank of america travel rewards - bank of america travel rewards card - bank of america travel card - boa travel rewards - Bank of AmericaÂ® Travel Rewards credit card - boa travel credit card - bac travel rewards - bankofamerica travel rewards - bofa travel rewards card - bank of america travel rewards visa - bank of america credit card travel rewards - travel credit card bank of america - travel rewards card bank of america - travel statement credit bank of america - bank of america travel credit - travel credit cards bank of america - bank of america credit card travel - bofa travel credit card - bank of america travel credit card - bofa travel card - bank of america travel card benefits - bank of america travel card rewards - bank of america travel cards - boa travel card - bank of america visa travel card,25,Airline Credit Cards
151,6300,2,amex rewards,1,Credit Card Benefits
152,2320,2,indigoapply - www indigoapply com,2,Airline Credit Cards
153,930,3,gobank sign up,1,Personal Loans
154,5940,2,comenity capital bank - comenity capital bank.,2,Store Credit Cards
155,10260,1,Citi SimplicityÂ® Card - citi card simplicity - simplicity citi - citi simplicity credit card - chase simplicity - citi simplicity mastercard - simplicity card - citibank simplicity card - citi simplicity card benefits - citibank simplicity credit card,10,Major Bank Credit Cards
156,910,3,cardholder services - cardholderservices,2,Credit Card Benefits
157,630,3,check for prequalified offers,1,Credit Card Benefits
158,6935,2,quad pay - qudpay,2,Money Advance
159,3200,2,mission lane card,1,Store Credit Cards
160,3215,2,spg luxury credit card - spg luxury card - spg luxury card amex - starwood preferred guest american express luxury credit card - amex spg luxury card - amex spg luxury - spg american express luxury card,7,Airline Credit Cards
161,10400,1,amex card,1,Major Bank Credit Cards
162,1200,2,credit freeze cost by state,1,Credit Score
163,17130,1,discovery card - discover.card - discovery credit - discove card - discover card us,5,Major Bank Credit Cards
